model,threshold,accuracy,precision,recall,f1,balanced_precision_recall,tn,fp,fn,tp
catboost_classifier,0.57,0.7372881355932204,0.6244343891402715,0.2822085889570552,0.38873239436619716,0.4533214890486633,1080,83,351,138
catboost_classifier,0.58,0.736682808716707,0.6261682242990654,0.2740286298568507,0.3812233285917496,0.45009842707795805,1083,80,355,134
catboost_classifier,0.59,0.7348668280871671,0.624390243902439,0.261758691206544,0.3688760806916426,0.44307446755449154,1086,77,361,128
catboost_classifier,0.6,0.7324455205811138,0.6180904522613065,0.25153374233128833,0.35755813953488375,0.43481209729629744,1087,76,366,123
catboost_classifier,0.61,0.7318401937046005,0.6210526315789474,0.24130879345603273,0.3475699558173785,0.4311807125174901,1091,72,371,118
catboost_classifier,0.62,0.7312348668280871,0.6216216216216216,0.23517382413087934,0.34124629080118696,0.42839772287625044,1093,70,374,115
catboost_classifier,0.63,0.7294188861985472,0.6153846153846154,0.22903885480572597,0.33383010432190763,0.4222117350951707,1093,70,377,112
catboost_classifier,0.64,0.7300242130750605,0.6214689265536724,0.2249488752556237,0.3303303303303303,0.423208900904648,1096,67,379,110
catboost_classifier,0.65,0.7306295399515739,0.627906976744186,0.22085889570552147,0.3267776096822995,0.4243829362248538,1099,64,381,108
catboost_classifier,0.66,0.7294188861985472,0.6265060240963856,0.21267893660531698,0.31755725190839695,0.4195924803508513,1101,62,385,104
catboost_classifier,0.67,0.7263922518159807,0.6178343949044586,0.1983640081799591,0.30030959752321984,0.40809920154220886,1103,60,392,97
catboost_classifier,0.68,0.7245762711864406,0.6118421052631579,0.1901840490797546,0.29017160686427457,0.40101307717145623,1104,59,396,93
catboost_classifier,0.69,0.725181598062954,0.6190476190476191,0.18609406952965235,0.2861635220125786,0.4025708442886357,1107,56,398,91
catboost_classifier,0.7,0.7263922518159807,0.6330935251798561,0.17995910020449898,0.2802547770700637,0.40652631269217754,1112,51,401,88
catboost_classifier,0.71,0.7276029055690073,0.6444444444444445,0.17791411042944785,0.27884615384615385,0.41117927743694616,1115,48,402,87
catboost_classifier,0.72,0.7257869249394673,0.640625,0.16768916155419222,0.26580226904376014,0.4041570807770961,1117,46,407,82
catboost_classifier,0.73,0.7233656174334141,0.6311475409836066,0.1574642126789366,0.2520458265139116,0.3943058768312716,1118,45,412,77
catboost_classifier,0.74,0.7221549636803875,0.6293103448275862,0.1492842535787321,0.2413223140495868,0.38929729920315914,1120,43,416,73
catboost_classifier,0.75,0.7203389830508474,0.6238532110091743,0.1390593047034765,0.22742474916387959,0.3814562578563254,1122,41,421,68
catboost_classifier,0.76,0.7197336561743342,0.63,0.12883435582822086,0.21392190152801357,0.37941717791411045,1126,37,426,63
catboost_classifier,0.77,0.7215496368038741,0.6559139784946236,0.12474437627811862,0.20962199312714777,0.39032917738637113,1131,32,428,61
catboost_classifier,0.78,0.7215496368038741,0.6666666666666666,0.11860940695296524,0.2013888888888889,0.3926380368098159,1134,29,431,58
catboost_classifier,0.79,0.7197336561743342,0.6585365853658537,0.11042944785276074,0.18914185639229422,0.3844830166093072,1135,28,435,54
catboost_classifier,0.8,0.7203389830508474,0.68,0.10429447852760736,0.18085106382978725,0.3921472392638037,1139,24,438,51
catboost_classifier,0.81,0.7203389830508474,0.7014925373134329,0.09611451942740286,0.16906474820143885,0.3988035283704179,1143,20,442,47
catboost_classifier,0.82,0.7215496368038741,0.7230769230769231,0.09611451942740286,0.16967509025270758,0.409595721252163,1145,18,442,47
catboost_classifier,0.83,0.7215496368038741,0.7377049180327869,0.09202453987730061,0.16363636363636364,0.4148647289550438,1147,16,444,45
